serial,lux,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm
205831BA4656,0.569764350,92711.87569,40352.51613,48205.37705,42252.51306,34070.02347,36131.45133,29023.77105,29109.11595,59947.67886,29268.13257,73324.6797,38892.85892,79020.11087,100285.4008
205831BB4656,0.558541119,97224.40062,41524.30148,48023.41274,39463.64976,32311.52684,35542.6684,35613.42096,35961.53502,59132.10653,36352.66185,80987.43902,48784.29536,84685.70372,105045.7838
205833A3464B,0.594230470,89293.29621,35719.24993,38303.48613,33491.03985,28156.31473,28972.78365,27118.52631,26579.83292,59493.19962,26459.85069,79864.44843,38489.12682,82101.39821,101713.5157
205A31BA4656,0.555567295,97634.63016,45403.31505,52921.28527,46929.41214,36772.26926,40765.9308,29718.56115,29819.70038,67082.38028,30243.73698,89508.95585,39902.18917,90351.29658,112979.7554
205A31BB4656,0.522170601,97634.63016,41470.42629,48114.39489,40919.78193,33133.06388,35851.6337,27987.01394,27742.60744,61933.69086,29286.36816,78840.54524,37547.08526,79815.28179,102348.2334
205D337A464B,0.633889538,98318.34605,41133.70637,46825.48107,40105.33512,32155.36691,33653.8994,29778.26968,29591.12078,59480.74814,29714.90468,81383.78864,44141.37622,80014.07453,101713.5157
205E31BA4656,0.564028036,85874.71672,39140.32439,46643.51676,41104.88347,31394.93594,34988.86268,30293.93421,30152.63155,60097.09669,30189.03019,78279.04995,40373.20995,81902.60548,98381.24765
205E31BB4656,0.573375077,94626.28021,41739.80223,48114.39489,43720.98533,33119.48475,35997.37205,31960.34485,32433.45849,64816.20984,33307.31722,76990.91368,42391.87045,85679.66738,112662.3965
205E33A3464B,0.620338126,90523.98482,36486.97136,40107.96549,36970.94893,29996.28611,30092.05417,29268.0332,29581.18253,61336.01953,31957.88307,73853.14586,40373.20995,81107.43455,100920.1186
206031BB4656,0.587483804,100779.7233,45039.65753,51829.49945,45633.70132,34728.61101,38638.15092,35662.27339,35573.94351,62462.87901,36544.13561,79963.53583,48447.85194,85580.27101,106315.2192
206033A3464B,0.629864682,85327.744,39571.3259,44323.47188,39167.48728,30797.45446,32458.84495,34690.65285,34679.50158,64673.01775,35076.17009,76165.18531,45823.5933,85083.28918,105997.8604
206231BB4656,0.550872710,100779.7233,39786.82665,46992.28168,39833.85285,33465.75243,35548.49793,27840.45665,27355.01593,58011.4728,28593.41549,74315.55375,37681.66262,81505.02001,100602.7597
206431BA4656,0.574660885,101873.6687,39921.51463,45809.5137,39858.53306,33581.17499,35012.18081,28936.92229,29367.51029,63932.15434,29368.42835,77023.94282,38960.1476,82697.7764,103776.3483
2067337F464B,0.695272657,73431.08739,37133.47362,41760.80792,38056.878,30702.40059,31823.42575,34489.81508,33869.53471,61105.66704,35614.12019,70054.79533,46160.03671,80212.86726,101396.1568
2.06832E+11,0.612419999,94899.76657,42413.24209,48463.15981,44276.28997,33554.01674,36714.40472,29680.56482,29456.95448,62774.16616,30809.04048,73225.59229,39700.32312,82399.58731,102824.2717
206933A7464B,0.587763609,81498.93498,39072.98041,43550.12358,38414.74099,31415.30462,33321.61597,38278.59238,38008.81323,61466.76014,38504.46225,75306.4278,54100.10134,79715.88543,105521.8221
206B33A7464B,0.251003000,72747.37149,32069.20591,37075.22708,31121.74005,25705.28275,27253.07114,28850.07352,28716.55533,65532.17028,29350.19275,89211.69363,39498.45707,88363.36926,109806.1667
206C33A3464B,0.605490514,92848.61887,38951.76123,43823.07004,38056.878,31693.67668,32388.89054,27275.93969,26644.4315,61865.20768,26888.38721,77090.00109,39767.6118,80014.07453,106473.8987
206E31BA4656,0.577261903,85874.71672,36284.93941,41199.75132,36316.92346,29269.80295,30809.08684,30994.15236,30813.52476,61902.56214,32158.47463,71144.75679,41247.96284,83294.1546,101713.5157
207231BA4656,0.591356251,97634.63016,41214.51915,46977.11799,41944.01048,33635.49149,35443.56632,34126.13589,33939.10242,63863.67117,34428.80641,83728.85722,45890.88198,84288.11826,104728.4249
207431BA4656,0.587110032,110078.2595,42951.99397,49873.38317,41981.03079,35020.56219,37209.9151,32915.68125,32681.91458,61653.53242,34018.50548,77585.43811,43266.62333,84586.30736,102348.2334
2.07632E+11,0.562222613,88062.60759,39409.70034,46370.57031,41721.88863,32623.84671,35204.55543,32682.2752,33069.50609,59897.87291,32988.19427,70285.99928,45016.1291,77529.16538,102030.8746
207633A3464B,0.587537050,95993.712,37268.1616,41366.55193,37513.91347,30430.81809,31403.69931,34582.09189,33968.91715,60719.67098,35404.41083,70880.52371,47303.94433,77429.76901,102030.8746
2077337A464B,0.619641009,71653.42605,31234.14049,41169.42393,29233.70428,29616.07062,28098.35356,30201.6574,30356.36554,62998.2929,30681.3913,74711.90337,40373.20995,84188.72189,102030.8746
207733A7464B,0.597895732,74251.54646,38924.82364,45218.12971,38821.9644,31327.04031,33688.87661,27351.93236,26296.59297,60800.60564,27836.63823,73390.73797,38219.97209,81703.81275,99492.00367
207831BA4656,0.586761352,108027.1118,45241.68948,51965.97268,44658.83317,36514.26589,39203.61571,36416.77202,34833.54436,62469.10475,37145.9103,82440.72096,49120.73878,83492.94733,101713.5157
208233A3464B,0.600134256,76849.66687,34507.05819,39637.89103,33848.90284,27368.72551,29240.94222,33599.61526,33645.92423,65083.91679,34474.3954,81449.84691,45419.8612,86872.42377,105521.8221
2.08432E+11,0.583592949,97497.88698,43490.74586,48387.34135,43103.98018,34212.60428,36755.21146,28654.66381,28726.49357,66584.32084,29724.02248,94628.47177,37816.23999,89854.31475,116788.0617
2.08732E+11,0.541977378,92301.64616,40056.2026,46476.71615,39525.35027,32107.83998,34440.88649,29550.29168,29645.78112,55116.50233,31191.98801,69394.21263,39834.90049,75740.03079,91716.71151
208833A3464B,0.632615692,96950.91426,36096.37625,38697.74213,34996.53243,28971.06221,27696.11572,33670.17988,33695.61545,65544.62177,34921.16752,78345.10822,45756.30461,87369.4056,107267.2958
208E33A3464B,0.632593258,85464.48718,38008.94544,43565.28728,37995.17749,30777.08577,32085.75478,34212.98465,34575.15002,61560.14628,35212.93706,77915.72946,46429.19145,82200.79457,102982.9512
209033A3464B,0.668905415,85601.23036,37941.60145,42518.99252,37995.17749,31272.72382,32715.34444,33800.45302,33382.56077,64579.63161,34364.98182,86206.04235,44477.81963,86276.04558,107108.6164
2.09132E+11,0.601799757,104608.5323,41982.24058,48827.08842,41240.62461,34844.03357,36650.27985,33404.20554,32806.14263,62680.78001,34091.44787,74150.40807,45150.70646,83592.3437,100920.1186
