wl,CIE1931_x,CIE1931_y,CIE1931_z,CIE1964_x,CIE1964_y,CIE1964_z
380,0.0013680000,0.0000390000,0.0064500010,0.0001599520,0.0000173640,0.0007047760
381,0.0015020500,0.0000428264,0.0070832160,0.0002150800,0.0000233270,0.0009482300
382,0.0016423280,0.0000469146,0.0077454880,0.0002874900,0.0000311500,0.0012682000
383,0.0018023820,0.0000515896,0.0085011520,0.0003819900,0.0000413500,0.0016861000
384,0.0019957570,0.0000571764,0.0094145440,0.0005045500,0.0000545600,0.0022285000
385,0.0022360000,0.0000640000,0.0105499900,0.0006624400,0.0000715600,0.0029278000
386,0.0025353850,0.0000723442,0.0119658000,0.0008645000,0.0000933000,0.0038237000
387,0.0028926030,0.0000822122,0.0136558700,0.0011215000,0.0001208700,0.0049642000
388,0.0033008290,0.0000935082,0.0155880500,0.0014461600,0.0001556400,0.0064067000
389,0.0037532360,0.0001061361,0.0177301500,0.0018535900,0.0001992000,0.0082193000
390,0.0042430000,0.0001200000,0.0200500100,0.0023616000,0.0002534000,0.0104822000
391,0.0047623890,0.0001349840,0.0225113600,0.0029906000,0.0003202000,0.0132890000
392,0.0053300480,0.0001514920,0.0252028800,0.0037645000,0.0004024000,0.0167470000
393,0.0059787120,0.0001702080,0.0282797200,0.0047102000,0.0005023000,0.0209800000
394,0.0067411170,0.0001918160,0.0318970400,0.0058581000,0.0006232000,0.0261270000
395,0.0076500000,0.0002170000,0.0362100000,0.0072423000,0.0007685000,0.0323440000
396,0.0087513730,0.0002469067,0.0414377100,0.0088996000,0.0009417000,0.0398020000
397,0.0100288800,0.0002812400,0.0475037200,0.0108709000,0.0011478000,0.0486910000
398,0.0114217000,0.0003185200,0.0541198800,0.0131989000,0.0013903000,0.0592100000
399,0.0128690100,0.0003572667,0.0609980300,0.0159292000,0.0016740000,0.0715760000
400,0.0143100000,0.0003960000,0.0678500100,0.0191097000,0.0020044000,0.0860109000
401,0.0157044300,0.0004337147,0.0744863200,0.0227880000,0.0023860000,0.1027400000
402,0.0171474400,0.0004730240,0.0813615600,0.0270110000,0.0028220000,0.1220000000
403,0.0187812200,0.0005178760,0.0891536400,0.0318290000,0.0033190000,0.1440200000
404,0.0207480100,0.0005722187,0.0985404800,0.0372780000,0.0038800000,0.1689900000
405,0.0231900000,0.0006400000,0.1102000000,0.0434000000,0.0045090000,0.1971200000
406,0.0262073600,0.0007245600,0.1246133000,0.0502230000,0.0052090000,0.2285700000
407,0.0297824800,0.0008255000,0.1417017000,0.0577640000,0.0059850000,0.2634700000
408,0.0338809200,0.0009411600,0.1613035000,0.0660380000,0.0068330000,0.3019000000
409,0.0384682400,0.0010698800,0.1832568000,0.0750330000,0.0077570000,0.3438700000
410,0.0435100000,0.0012100000,0.2074000000,0.0847360000,0.0087560000,0.3893660000
411,0.0489956000,0.0013620910,0.2336921000,0.0950410000,0.0098160000,0.4379700000
412,0.0550226000,0.0015307520,0.2626114000,0.1058360000,0.0109180000,0.4892200000
413,0.0617188000,0.0017203680,0.2947746000,0.1170660000,0.0120580000,0.5429000000
414,0.0692120000,0.0019353230,0.3307985000,0.1286820000,0.0132370000,0.5988100000
415,0.0776300000,0.0021800000,0.3713000000,0.1406380000,0.0144560000,0.6567600000
416,0.0869581100,0.0024548000,0.4162091000,0.1528930000,0.0157170000,0.7165800000
417,0.0971767200,0.0027640000,0.4654642000,0.1654160000,0.0170250000,0.7781200000
418,0.1084063000,0.0031178000,0.5196948000,0.1781910000,0.0183990000,0.8413100000
419,0.1207672000,0.0035264000,0.5795303000,0.1912140000,0.0198480000,0.9061100000
420,0.1343800000,0.0040000000,0.6456000000,0.2044920000,0.0213910000,0.9725420000
421,0.1493582000,0.0045462400,0.7184838000,0.2176500000,0.0229920000,1.0389000000
422,0.1653957000,0.0051593200,0.7967133000,0.2302670000,0.0245980000,1.1031000000
423,0.1819831000,0.0058292800,0.8778459000,0.2423110000,0.0262130000,1.1651000000
424,0.1986110000,0.0065461600,0.9594390000,0.2537930000,0.0278410000,1.2249000000
425,0.2147700000,0.0073000000,1.0390501000,0.2647370000,0.0294970000,1.2825000000
426,0.2301868000,0.0080865070,1.1153673000,0.2751950000,0.0311950000,1.3382000000
427,0.2448797000,0.0089087200,1.1884971000,0.2853010000,0.0329270000,1.3926000000
428,0.2587773000,0.0097676800,1.2581233000,0.2951430000,0.0347380000,1.4461000000
429,0.2718079000,0.0106644300,1.3239296000,0.3048690000,0.0366540000,1.4994000000
430,0.2839000000,0.0116000000,1.3856000000,0.3146790000,0.0386760000,1.5534800000
431,0.2949438000,0.0125731700,1.4426352000,0.3243550000,0.0407920000,1.6072000000
432,0.3048965000,0.0135827200,1.4948035000,0.3335700000,0.0429460000,1.6589000000
433,0.3137873000,0.0146296800,1.5421903000,0.3422430000,0.0451140000,1.7082000000
434,0.3216454000,0.0157150900,1.5848807000,0.3503120000,0.0473330000,1.7548000000
435,0.3285000000,0.0168400000,1.6229600000,0.3577190000,0.0496020000,1.7985000000
436,0.3343513000,0.0180073600,1.6564048000,0.3644820000,0.0519340000,1.8392000000
437,0.3392101000,0.0192144800,1.6852959000,0.3704930000,0.0543370000,1.8766000000
438,0.3431213000,0.0204539200,1.7098745000,0.3757270000,0.0568220000,1.9105000000
439,0.3461296000,0.0217182400,1.7303821000,0.3801580000,0.0593990000,1.9408000000
440,0.3482800000,0.0230000000,1.7470600000,0.3837340000,0.0620770000,1.9672800000
441,0.3495999000,0.0242946100,1.7600446000,0.3863270000,0.0647370000,1.9891000000
442,0.3501474000,0.0256102400,1.7696233000,0.3878580000,0.0672850000,2.0057000000
443,0.3500130000,0.0269585700,1.7762637000,0.3883960000,0.0697640000,2.0174000000
444,0.3492870000,0.0283512500,1.7804334000,0.3879780000,0.0722180000,2.0244000000
445,0.3480600000,0.0298000000,1.7826000000,0.3867260000,0.0747040000,2.0273000000
446,0.3463733000,0.0313108300,1.7829682000,0.3846960000,0.0772720000,2.0264000000
447,0.3442624000,0.0328836800,1.7816998000,0.3820060000,0.0799790000,2.0223000000
448,0.3418088000,0.0345211200,1.7791982000,0.3787090000,0.0828740000,2.0153000000
449,0.3390941000,0.0362257100,1.7758671000,0.3749150000,0.0860000000,2.0060000000
450,0.3362000000,0.0380000000,1.7721100000,0.3707020000,0.0894560000,1.9948000000
451,0.3331977000,0.0398466700,1.7682589000,0.3660890000,0.0929470000,1.9814000000
452,0.3300411000,0.0417680000,1.7640390000,0.3610450000,0.0962750000,1.9653000000
453,0.3266357000,0.0437660000,1.7589438000,0.3555180000,0.0995350000,1.9464000000
454,0.3228868000,0.0458426700,1.7524663000,0.3494860000,0.1028290000,1.9248000000
455,0.3187000000,0.0480000000,1.7441000000,0.3429570000,0.1062560000,1.9007000000
456,0.3140251000,0.0502436800,1.7335595000,0.3358930000,0.1099010000,1.8741000000
457,0.3088840000,0.0525730400,1.7208581000,0.3282840000,0.1138350000,1.8451000000
458,0.3032904000,0.0549805600,1.7059369000,0.3201500000,0.1181670000,1.8139000000
459,0.2972579000,0.0574587200,1.6887372000,0.3114750000,0.1229320000,1.7806000000
460,0.2908000000,0.0600000000,1.6692000000,0.3022730000,0.1282010000,1.7453700000
461,0.2839701000,0.0626019700,1.6475287000,0.2928580000,0.1334570000,1.7091000000
462,0.2767214000,0.0652775200,1.6234127000,0.2835020000,0.1383230000,1.6723000000
463,0.2689178000,0.0680420800,1.5960223000,0.2740440000,0.1430420000,1.6347000000
464,0.2604227000,0.0709110900,1.5645280000,0.2642630000,0.1477870000,1.5956000000
465,0.2511000000,0.0739000000,1.5281000000,0.2540850000,0.1527610000,1.5549000000
466,0.2408475000,0.0770160000,1.4861114000,0.2433920000,0.1581020000,1.5122000000
467,0.2298512000,0.0802664000,1.4395215000,0.2321870000,0.1639410000,1.4673000000
468,0.2184072000,0.0836668000,1.3898799000,0.2204880000,0.1703620000,1.4199000000
469,0.2068115000,0.0872328000,1.3387362000,0.2081980000,0.1774250000,1.3700000000
470,0.1953600000,0.0909800000,1.2876400000,0.1956180000,0.1851900000,1.3175600000
471,0.1842136000,0.0949175500,1.2374223000,0.1830340000,0.1930250000,1.2624000000
472,0.1733273000,0.0990458400,1.1878243000,0.1702220000,0.2003130000,1.2050000000
473,0.1626881000,0.1033674000,1.1387611000,0.1573480000,0.2071560000,1.1466000000
474,0.1522833000,0.1078846000,1.0901480000,0.1446500000,0.2136440000,1.0880000000
475,0.1421000000,0.1126000000,1.0419000000,0.1323490000,0.2199400000,1.0302000000
476,0.1321786000,0.1175320000,0.9941976000,0.1205840000,0.2261700000,0.9738300000
477,0.1225696000,0.1226744000,0.9473473000,0.1094560000,0.2324670000,0.9194300000
478,0.1132752000,0.1279928000,0.9014531000,0.0990420000,0.2390250000,0.8674600000
479,0.1042979000,0.1334528000,0.8566193000,0.0893880000,0.2459970000,0.8182800000
480,0.0956400000,0.1390200000,0.8129501000,0.0805070000,0.2535890000,0.7721250000
481,0.0872995500,0.1446764000,0.7705173000,0.0720340000,0.2618760000,0.7282900000
482,0.0793080400,0.1504693000,0.7294448000,0.0637100000,0.2706430000,0.6860400000
483,0.0717177600,0.1564619000,0.6899136000,0.0556940000,0.2796450000,0.6455300000
484,0.0645809900,0.1627177000,0.6521049000,0.0481170000,0.2886940000,0.6068500000
485,0.0579500100,0.1693000000,0.6162000000,0.0410720000,0.2976650000,0.5700600000
486,0.0518621100,0.1762431000,0.5823286000,0.0346420000,0.3064690000,0.5352200000
487,0.0462815200,0.1835581000,0.5504162000,0.0288960000,0.3150350000,0.5023400000
488,0.0411508800,0.1912735000,0.5203376000,0.0238760000,0.3233350000,0.4714000000
489,0.0364128300,0.1994180000,0.4919673000,0.0196280000,0.3313660000,0.4423900000
