wl,scone,vprime,vlambda,melanopsin
380,0,0.00512100934579438,1.7637982180147485e-4,0.00121
381,0,0.00410814193925232,1.4798804268759504e-4,0.00152
382,0,0.003292738317757,1.257385716274532e-4,0.00188
383,0,0.00266088843457943,1.0922435951204196e-4,0.00227
384,0,0.00219868224299065,9.803835723235393e-5,0.00271
385,0,0.00189220969626167,9.17735156793817e-5,0.0032
386,0,0.00172756074766354,9.002278574411795e-5,0.00374
387,0,0.00169082535046728,9.237911831755527e-5,0.00435
388,0,0.00176809345794392,9.843546429068632e-5,0.00488
389,0,0.00194545502336448,1.0778477455450368e-4,0.00546
390,0.00777,0.002209,1.2002e-4,0.00609
391,0.02437625460318653,0.00254481834112149,1.347340915181679e-4,0.00754
392,0.041,0.002939,1.5152e-4,0.0091
393,0.05762076965054481,0.00339395393180332,1.7028458697093522e-4,0.0108
394,0.0743,0.003921,1.9185e-4,0.0126
395,0.09116905989169596,0.00453366152897122,2.1744075105599277e-4,0.0145
396,0.108,0.00524,2.4696e-4,0.0166
397,0.1245432908545727,0.00604945508699284,2.812506864688526e-4,0.0188
398,0.141,0.00698,3.1858e-4,0.0211
399,0.1572095070422535,0.00805589722743381,3.5697684456260123e-4,0.0234
400,0.174,0.00929,3.9608e-4,0.0259
401,0.1926654929577465,0.01070266315903961,4.3341733335962047e-4,0.0306
402,0.212,0.01231,4.7312e-4,0.0354
403,0.23106333333333337,0.01413126274277827,5.185446404485186e-4,0.0405
404,0.25,0.01619,5.7233e-4,0.0459
405,0.26849999999999996,0.01851742389545076,6.411727533625878e-4,0.0515
406,0.287,0.02113,7.247e-4,0.0573
407,0.30593666666666663,0.02405254534096735,8.253939736554915e-4,0.0633
408,0.325,0.0273,9.4135e-4,0.0701
409,0.34293367346938775,0.03088951754062201,0.0010692194188711,0.0771
410,0.363,0.03484,0.00121024,0.0844
411,0.3913793517406962,0.0391775906249617,0.00136247938244512,0.0944
412,0.423,0.0439,0.00153105,0.105
413,0.4525,0.04899784813444273,0.00172124423431857,0.115
414,0.482,0.0545,0.00193571,0.126
415,0.511936974789916,0.06043648031613728,0.00217954150347122,0.137
416,0.542,0.0668,0.00245529,0.149
417,0.572063025210084,0.07358117743129099,0.00276503547009134,0.161
418,0.602,0.0808,0.00311842,0.174
419,0.6322448451602863,0.08847987887216076,0.00352898656319208,0.188
420,0.661,0.0966,0.00400079,0.202
421,0.6860671296296297,0.10513132854321712,0.00454793801054252,0.218
422,0.71,0.1141,0.00516034,0.234
423,0.7345631443298969,0.12354755978260867,0.00582930807394376,0.25
424,0.759,0.1334,0.00654745,0.266
425,0.783,0.14356315843023254,0.00729926206232022,0.283
426,0.807,0.1541,0.00808811,0.3
427,0.8315,0.16507918388377182,0.00891063047956281,0.317
428,0.856,0.1764,0.00976961,0.335
429,0.8825324439053972,0.1879624239960165,0.01066706354022965,0.354
430,0.904,0.1998,0.01160229,0.372
431,0.9150935143288084,0.21193047440283053,0.01257505710085487,0.388
432,0.924,0.2243,0.0135854,0.404
433,0.9335608974358974,0.2368621362402736,0.01463247030173978,0.42
434,0.943,0.2496,0.0157182,0.436
435,0.9525,0.26249341851232605,0.01684487284981301,0.452
436,0.962,0.2755,0.01801092,0.468
437,0.9715,0.2885686895630661,0.01921838313275366,0.485
438,0.981,0.3017,0.02045796,0.502
439,0.992875,0.3149,0.02172094897593933,0.52
440,1,0.3281,0.02300455,0.538
441,0.993625,0.3412250003642032,0.02429788989491051,0.551
442,0.983,0.3543,0.0256153,0.564
443,0.974435606060606,0.3673313109080534,0.02696456037524771,0.577
444,0.966,0.3803,0.02835685,0.591
445,0.958,0.3932129952426188,0.02980771226390081,0.605
446,0.95,0.406,0.03131702,0.619
447,0.941564393939394,0.4186069214668116,0.03289005491536731,0.633
448,0.933,0.431,0.03452794,0.647
449,0.92481875,0.4430612244897959,0.03623290806309375,0.662
450,0.916,0.455,0.03800751,0.676
451,0.90493125,0.4670638297872341,0.03985466427262204,0.689
452,0.893,0.479,0.04177625,0.701
453,0.8814361111111111,0.4906250591016548,0.04377445453044068,0.714
454,0.87,0.502,0.04585173,0.727
455,0.859,0.5130611111111111,0.04801126061871653,0.741
456,0.848,0.524,0.05025361,0.754
457,0.8365638888888889,0.5350639534883721,0.05258359492076974,0.767
458,0.825,0.546,0.05499142,0.782
459,0.8134361111111111,0.5565610465116279,0.05746773583127618,0.796
460,0.802,0.567,0.06001186,0.81
461,0.790938888888889,0.577438953488372,0.06261307198217399,0.822
462,0.78,0.588,0.06529042,0.834
463,0.768936046511628,0.599,0.06805649433239004,0.845
464,0.758,0.61,0.0709251,0.857
465,0.7475,0.6205,0.07391484784436508,0.869
466,0.737,0.631,0.07703122,0.88
467,0.726063953488372,0.6418749354005168,0.08028224582156714,0.891
468,0.715,0.653,0.08368333,0.901
469,0.7049440298507462,0.6644361111111111,0.08725253570439148,0.911
470,0.693,0.676,0.09099798,0.921
471,0.6723677679020627,0.6875,0.09493623545835347,0.931
472,0.648,0.699,0.09906541,0.941
473,0.626,0.7104999999999999,0.10338680006355257,0.949
474,0.604,0.722,0.10790592,0.957
475,0.5815,0.7334388297872341,0.11262901823475777,0.965
476,0.559,0.745,0.11755522,0.972
477,0.537,0.7569361702127659,0.12269927639348102,0.979
478,0.515,0.769,0.12801809,0.984
479,0.4920888046568296,0.781,0.13347054911175826,0.989
480,0.47,0.793,0.13904747,0.994
481,0.4506610859020498,0.805063829787234,0.14469809895400823,0.997
482,0.432,0.817,0.15049903,0.999
483,0.4125633116883117,0.8286250591016548,0.15649692884387428,1
484,0.393,0.84,0.16274985,1
485,0.3734366883116883,0.851061111111111,0.16934097888366093,1
486,0.354,0.862,0.17627792,0.999
487,0.33499999999999996,0.8731309523809524,0.18359408128431684,0.997
488,0.316,0.884,0.19131129,0.995
489,0.29520470513093466,0.8941831501831502,0.1994569271990367,0.992
490,0.277,0.904,0.2080611,0.989
491,0.26529471766848817,0.9136250866250868,0.21716985282452644,0.985
492,0.255,0.923,0.2267793,0.981
493,0.2435,0.9321931637519872,0.2369042934106081,0.975
494,0.232,0.941,0.2475301,0.969
495,0.221,0.9493245436105476,0.2586273450458923,0.962
496,0.21,0.957,0.27023829,0.954
497,0.1985,0.9637331034482758,0.2823507327927703,0.946
498,0.187,0.97,0.2951088,0.937
499,0.17532777777777778,0.97636,0.3086633399280104,0.928
500,0.165,0.982,0.32306382,0.917
501,0.15761111111111112,0.9862666666666666,0.3384873898315927,0.906
502,0.151,0.99,0.35475588,0.895
503,0.14400000000000002,0.9939083333333332,0.371763706634654,0.883
504,0.137,0.997,0.38936442,0.871
505,0.13,0.999025,0.407340532299618,0.858
506,0.123,1,0.425714,0.844
507,0.1159616788321168,1,0.44439702215985705,0.83
508,0.109,1,0.46348596,0.816
509,0.10199503112459316,0.999025,0.4830584720218857,0.801
510,0.0956,0.997,0.50309939,0.786
511,0.09054950765987035,0.993959375,0.5236793326596357,0.769
512,0.0859,0.99,0.54461959,0.753
513,0.08109378238341969,0.9858451704545454,0.5657949364750664,0.736
514,0.0763,0.981,0.58708128,0.719
515,0.07150621761658031,0.974911525974026,0.6083389791681223,0.701
516,0.0667,0.968,0.62947895,0.684
517,0.06184999999999999,0.9608043831168832,0.6504513133429638,0.667
518,0.057,0.953,0.67100776,0.65
519,0.05174806809770541,0.9443229665071772,0.6909594473805285,0.632
520,0.0474,0.935,0.71014029,0.614
521,0.04498939244663382,0.9253059975520196,0.7282952205997629,0.597
522,0.043,0.915,0.7456109,0.58
523,0.04085,0.9038203730620156,0.7621207322043684,0.563
524,0.0387,0.892,0.77799049,0.545
525,0.0365,0.8797504006410256,0.7933915948014072,0.528
526,0.0343,0.867,0.80827007,0.511
527,0.03215,0.8537503434065934,0.8226600475682602,0.494
528,0.03,0.84,0.83647205,0.477
529,0.02766489326765189,0.8256909049636804,0.8496506872672327,0.46
530,0.0256,0.811,0.86217032,0.444
531,0.02421642857142857,0.7961845270639695,0.8739789092768402,0.428
532,0.023,0.781,0.88513726,0.412
533,0.02170613207547169,0.7651290322580645,0.8956705337297748,0.397
534,0.0204,0.749,0.90562211,0.381
535,0.01905,0.7331212121212121,0.9150383779196848,0.366
536,0.0177,0.717,0.92391732,0.352
537,0.0164,0.700065355042967,0.9322774342361024,0.338
538,0.0151,0.683,0.94010832,0.324
539,0.01364935572940635,0.6665000000000001,0.947410806406306,0.31
540,0.0124,0.65,0.9541885,0.297
541,0.011642616888262739,0.6331250270387194,0.9604483269241691,0.284
542,0.011,0.616,0.96619827,0.271
543,0.01031438624888819,0.5984347293265132,0.9714547638814108,0.259
544,0.00963,0.581,0.97621535,0.247
545,0.00893688181782764,0.5644402436347673,0.980490200215036,0.235
546,0.00824,0.548,0.98428685,0.224
547,0.00754062724014337,0.531,0.987611711478332,0.213
548,0.00684,0.514,0.99050848,0.203
549,0.00607242574257425,0.4974384328358209,0.9930230105115172,0.193
550,0.00544,0.481,0.99514669,0.183
551,0.00510007425742574,0.46437109375,0.9969192920558902,0.174
552,0.00482,0.448,0.99829551,0.164
553,0.00451062,0.43235374391233766,0.9993658620137056,0.156
554,0.0042,0.417,0.99994574,0.147
555,0.00388499999999999,0.4016051540181948,1.000025455999943,0.139
556,0.00357,0.3864,1.00005426,0.132
557,0.00325938,0.37149288158335647,0.9995506739863638,0.124
558,0.00295,0.3569,0.99852276,0.117
559,0.0025926948051948,0.3426945042315739,0.9971068703455328,0.111
560,0.00233,0.3288,0.9951966,0.104
561,0.00224416003351487,0.3151427936071988,0.992809627226525,0.0982
562,0.00218,0.3018,0.98993816,0.0924
563,0.00210064516129032,0.28883146216387146,0.9866449911570954,0.0869
564,0.00202,0.2762,0.98291828,0.0816
565,0.00193935483870967,0.2638741310646771,0.9787999522697672,0.0766
566,0.0018600000000000001,0.2519,0.97427617,0.0719
567,0.001785,0.2403256013572774,0.9693635938160184,0.0674
568,0.00171,0.2291,0.96404725,0.0632
569,0.00163,0.2181739957572955,0.9583231964123564,0.0592
570,0.00155,0.2076,0.95218811,0.0554
571,0.001475,0.19741896497908737,0.9456369277410964,0.0518
572,0.0014,0.1876,0.93868464,0.0484
573,0.00132,0.17813148137457244,0.9313480467010824,0.0453
574,0.00124,0.169,0.92364007,0.0423
575,0.00116488217427733,0.16018050244152096,0.9155859953672464,0.0395
576,0.00109,0.1517,0.90718562,0.0368
577,0.00101132368988838,0.14358147664428206,0.898455196419527,0.0344
578,9.32e-4,0.1358,0.8893805,0.032
579,8.349392971246007e-4,0.12834399882903982,0.8799518688720873,0.0298
580,7.77e-4,0.1212,0.8701719,0.0278
581,7.77e-4,0.11434969866071427,0.8600297254915762,0.0259
582,7.77e-4,0.10780000000000001,0.84955983,0.0241
583,7.77e-4,0.1015565199168455,0.8387893111175158,0.0224
584,7.77e-4,0.0956,0.82774482,0.0208
585,7.77e-4,0.08991216158493176,0.8164617293282276,0.0193
586,7.77e-4,0.0845,0.80495372,0.0179
587,7.77e-4,0.07936904464953853,0.7932383382800834,0.0166
588,7.77e-4,0.0745,0.78134636,0.0154
589,7.77e-4,0.06988157894736842,0.7693091773782873,0.0143
590,7.77e-4,0.0655,0.75714958,0.0133
591,7.77e-4,0.06133715170278638,0.7449042655213263,0.0123
592,7.77e-4,0.0574,0.73256712,0.0114
593,7.77e-4,0.05369411764705882,0.7201454438184639,0.0105
594,7.77e-4,0.0502,0.70763629,0.00976
595,7.77e-4,0.04690244283760016,0.6950338994792874,0.00903
596,7.77e-4,0.0438,0.682354,0.00835
597,7.77e-4,0.04089379411351832,0.6696039662728184,0.00772
598,7.77e-4,0.03816,0.65680415,0.00715
599,7.77e-4,0.03557806569032026,0.643973237219825,0.00661
600,7.77e-4,0.03315,0.63112468,0.00611
601,7.189372990353698e-4,0.03087393744807532,0.6182794713019214,0.00565
602,6.22e-4,0.02874,0.605434,0.00522
603,5.44e-4,0.02674217701542969,0.5925926644758596,0.00483
604,4.66e-4,0.02487,0.57975243,0.00446
605,3.885e-4,0.02311312155580355,0.5669072261562297,0.00412
606,3.11e-4,0.02147,0.55407056,0.0038
607,2.3300000000000005e-4,0.01993902345435142,0.5412435518919921,0.00351
608,1.55e-4,0.01851,0.5284572,0.00325
609,5.806270096463021e-5,0.01717513009871624,0.5157382664194836,0.003
610,0,0.01593,0.50309939,0.00277
611,0,0.01477015326887569,0.4905667952539956,0.00256
612,0,0.01369,0.47812485,0.00236
613,0,0.01268517856670808,0.46576844164091064,0.00218
614,0,0.01175,0.45349279,0.00201
615,0,0.01087948581716767,0.4412925982575922,0.0018600000000000001
616,0,0.01007,0.42916478,0.00172
617,0,0.00931825538397822,0.4171202987971927,0.00158
618,0,0.00862,0.40511203,0.00146
619,0,0.00797130308109833,0.3931014308768226,0.00135
620,0,0.00737,0.38107528,0.00125
621,0,0.00681454118653612,0.3689850861555337,0.00116
622,0,0.0063,0.35689771,0.00107
623,0,0.00582258896823297,0.3448468602653815,9.86e-4
624,0,0.00538,0.33288336,9.12e-4
625,0,0.00496988618017436,0.3210618443116973,8.43e-4
626,0,0.00459,0.30939922,7.79e-4
627,0,0.00423830591227455,0.29790569623303387,7.21e-4
628,0,0.003913,0.28665023,6.67e-4
629,0,0.00361256647062543,0.275685201188599,6.17e-4
630,0,0.003335,0.26505236,5.71e-4
631,0,0.00307875464120732,0.2548235346944144,5.29e-4
632,0,0.002842,0.24493799,4.9e-4
633,0,0.00262317147295629,0.23538008473864905,4.54e-4
634,0,0.002421,0.22609747,4.2e-4
635,0,0.00223428353992894,0.21703579698923137,3.9e-4
636,0,0.002062,0.20820273,3.61e-4
637,0,0.00190336296846678,0.19958936467810393,3.35e-4
638,0,0.001757,0.19119297,3.11e-4
639,0,0.00162177636928964,0.18301054603160352,2.88e-4
640,0,0.001497,0.17503458,2.67e-4
641,0,0.00138203122315469,0.16725389303602817,2.48e-4
642,0,0.001276,0.15967794,2.3e-4
643,0,0.00117821310738273,0.15230791252534678,2.14e-4
644,0,0.001088,0.14515458,1.99e-4
645,0,0.00100476918297607,0.13822778304571215,1.84e-4
646,0,9.28e-4,0.13152628,1.71e-4
647,0,8.571993108646495e-4,0.12504872946926857,1.59e-4
648,0,7.92e-4,0.11880267,1.48e-4
649,0,7.321500102874885e-4,0.11279219398050724,1.38e-4
650,0,6.77e-4,0.10702114,1.28e-4
651,0,6.260071070993178e-4,0.10149862588933686,1.19e-4
652,0,5.79e-4,0.09620765,1.11e-4
653,0,5.358317518117242e-4,0.09114094069398555,1.03e-4
654,0,4.96e-4,0.0862819,9.58e-5
655,0,4.590997913683275e-4,0.08161437007809655,8.92e-5
656,0,4.25e-4,0.07713588,8.3e-5
657,0,3.935457376120587e-4,0.07284013340198026,7.73e-5
658,0,3.645e-4,0.06872366,7.2e-5
659,0,3.3767515107177917e-4,0.06478251651057465,6.71e-5
660,0,3.129e-4,0.06101205,6.25e-5
661,0,2.9003138895725654e-4,0.05740728815109491,5.82e-5
662,0,2.689e-4,0.0539657,5.43e-5
663,0,2.4936776223383336e-4,0.05068394914177569,5.06e-5
664,0,2.313e-4,0.04755905,4.71e-5
665,0,2.1457173426828508e-4,0.04458725154476496,4.4e-5
666,0,1.991e-4,0.04176697,4.1e-5
667,0,1.848170228179383e-4,0.03909178283465652,3.82e-5
668,0,1.716e-4,0.03657107,3.57e-5
669,0,1.5935309924263024e-4,0.03420873856078143,3.33e-5
670,0,1.48e-4,0.03200632,3.11e-5
671,0,1.374567938799496e-4,0.02996992007671502,2.9e-5
672,0,1.277e-4,0.02808219,2.71e-5
673,0,1.1872347403827152e-4,0.02633456105696798,2.53e-5
674,0,1.104e-4,0.02471293,2.36e-5
675,0,1.0261810477314745e-4,0.02320632755211376,2.21e-5
676,0,9.54e-5,0.02180508,2.06e-5
677,0,8.875957376358327e-5,0.02050682898721749,1.93e-5
678,0,8.26e-5,0.01928489,1.8e-5
679,0,7.684354054108949e-5,0.01812236091096806,1.68e-5
680,0,7.15e-5,0.01700336,1.57e-5
681,0,6.657054947616697e-5,0.01590412420248111,1.47e-5
682,0,6.2e-5,0.01484011,1.38e-5
683,0,5.7751024703666775e-5,0.01381340119132316,1.29e-5
684,0,5.38e-5,0.01283732,1.21e-5
685,0,5.011895796197266e-5,0.01192460054958213,1.13e-5
686,0,4.67e-5,0.0110705,1.06e-5
687,0,4.353657301910929e-5,0.01027518206946361,9.9e-6
688,0,4.06e-5,0.0095352,9.27e-6
689,0,3.7870765890289254e-5,0.00884772504479351,8.68e-6
690,0,3.533e-5,0.00821162,8.13e-6
691,0,3.2958332707236183e-5,0.00762574759142991,7.62e-6
692,0,3.075e-5,0.00708682,7.14e-6
693,0,2.8698562555260132e-5,0.0065928124809941,6.69e-6
694,0,2.679e-5,0.0061397,6.28e-6
695,0,2.5014151222611827e-5,0.00572450406332266,5.89e-6
696,0,2.336e-5,0.00534412,5.52e-6
697,0,2.181705089282708e-5,0.00499718898561663,5.17e-6
698,0,2.038e-5,0.00467733,4.86e-6
699,0,1.904404959849548e-5,0.00438066928465134,4.56e-6
700,0,1.78e-5,0.00410281,4.28e-6
701,0,1.6641582295988935e-5,0.0038388473283583,4.02e-6
702,0,1.556e-5,0.00358981,3.77e-6
703,0,1.4545543378995432e-5,0.00335490958176374,3.54e-6
704,0,1.36e-5,0.00313471,3.32e-6
705,0,1.2725378808175965e-5,0.00292984748476984,3.12e-6
706,0,1.191e-5,0.00273868,2.93e-6
707,0,1.1145054948809348e-5,0.00256038684448669,2.76e-6
708,0,1.043e-5,0.00239372,0
709,0,9.76256504935812e-6,0.00223769387169678,0
710,0,9.14e-6,0.00209141,0
711,0,8.560791147994467e-6,0.00195394626487691,0
712,0,8.02e-6,0.00182494,0
713,0,7.51384420289855e-6,0.00170393471938988,0
714,0,7.04e-6,0.0015905,0
715,0,6.594926630434783e-6,0.001484273523737,0
716,0,6.18e-6,0.00138477,0
717,0,5.797776785714286e-6,0.00129151469906119,0
718,0,5.44e-6,0.00120433,0
719,0,5.0992491289198606e-6,0.00112299233273055,0
720,0,4.78e-6,0.00104721,0
721,0,4.485125370412583e-6,9.768139319618052e-4,0
722,0,4.21e-6,9.1129e-4,0
723,0,3.951921853251143e-6,8.502648386162889e-4,0
724,0,3.71e-6,7.934e-4,0
725,0,3.4831761086900795e-6,7.405492962511021e-4,0
726,0,3.27e-6,6.9096e-4,0
727,0,3.068000753012048e-6,6.438402609816177e-4,0
728,0,2.88e-6,5.9961e-4,0
729,0,2.7078125e-6,5.584262794100433e-4,0
730,0,2.55e-6,5.201e-4,0
731,0,2.4084375e-6,4.8493883823013e-4,0
732,0,2.285000000000001e-6,4.5325047056069304e-4,0
733,0,2.1815625000000008e-6,4.253425734519491e-4,0
734,0,2.100000000000001e-6,4.015228233641579e-4,0
735,0,2.0421875000000018e-6,3.8209889675757953e-4,0
736,0,2.0100000000000015e-6,3.673784700924737e-4,0
737,0,2.005312500000002e-6,3.5766921982910015e-4,0
738,0,2.0300000000000017e-6,3.53278822427719e-4,0
739,0,2.0859375000000016e-6,3.545149543485899e-4,0
740,0,2.1750000000000016e-6,3.616852920519728e-4,0
741,0,2.2990625000000013e-6,3.750975119981276e-4,0
742,0,2.460000000000001e-6,3.9505929064731406e-4,0
743,0,2.6596875000000005e-6,4.218783044597921e-4,0
744,0,2.9e-6,4.558622298958216e-4,0
745,0,3.182812499999999e-6,4.973187434156623e-4,0
746,0,3.5099999999999977e-6,5.465555214795743e-4,0
747,0,3.883437499999997e-6,6.038802405478171e-4,0
748,0,4.304999999999995e-6,6.69600577080651e-4,0
749,0,4.776562499999993e-6,7.440242075383355e-4,0
750,0,5.299999999999991e-6,8.274588083811306e-4,0
751,0,5.877187499999988e-6,9.20212056069296e-4,0
752,0,6.509999999999985e-6,0.00102259162706309,0
753,0,7.200312499999982e-6,0.00113490519782277,0
754,0,7.949999999999978e-6,0.00125746044480861,0
755,0,8.760937499999975e-6,0.00139056504448086,0
756,0,9.634999999999971e-6,0.00153452667329977,0
757,0,1.0574062499999966e-5,0.00168965300772562,0
758,0,1.157999999999996e-5,0.00185625172421865,0
759,0,1.2654687499999954e-5,0.00203463049923913,0
760,0,1.379999999999995e-5,0.00222509700924733,0
761,0,1.501781249999994e-5,0.00242795893070349,0
762,0,1.6309999999999937e-5,0.00264352394006788,0
763,0,1.7678437499999928e-5,0.00287209971380076,0
764,0,1.912499999999992e-5,0.00311399392836239,0
765,0,2.065156249999991e-5,0.00336951426021303,0
766,0,2.2259999999999905e-5,0.00363896838581293,0
767,0,2.395218749999989e-5,0.00392266398162237,0
768,0,2.5729999999999884e-5,0.00422090872410159,0
769,0,2.759531249999987e-5,0.00453401028971086,0
770,0,2.954999999999986e-5,0.00486227635491044,0
771,0,3.1595937499999844e-5,0.00520601459616058,0
772,0,3.373499999999983e-5,0.00556553268992155,0
773,0,3.596906249999982e-5,0.00594113831265361,0
774,0,3.8299999999999806e-5,0.00633313914081702,0
775,0,4.072968749999979e-5,0.00674184285087203,0
776,0,4.325999999999977e-5,0.00716755711927892,0
777,0,4.589281249999976e-5,0.00761058962249792,0
778,0,4.862999999999974e-5,0.00807124803698932,0
779,0,5.147343749999972e-5,0.00854984003921336,0
780,0,5.4424999999999703e-05,0.00904667330563031,0
