wl,scone,vprime,vlambda
390,0.00777,0.00220900,0.00012002
392,0.041,0.00293900,0.00015152
394,0.0743,0.00392100,0.00019185
396,0.108,0.00524000,0.00024696
398,0.141,0.00698000,0.00031858
400,0.174,0.00929000,0.00039608
402,0.212,0.01231000,0.00047312
404,0.25,0.01619000,0.00057233
406,0.287,0.02113000,0.00072470
408,0.325,0.02730000,0.00094135
410,0.363,0.03484000,0.00121024
412,0.423,0.04390000,0.00153105
414,0.482,0.05450000,0.00193571
416,0.542,0.06680000,0.00245529
418,0.602,0.08080000,0.00311842
420,0.661,0.09660000,0.00400079
422,0.71,0.11410000,0.00516034
424,0.759,0.13340000,0.00654745
426,0.807,0.15410000,0.00808811
428,0.856,0.17640000,0.00976961
430,0.904,0.19980000,0.01160229
432,0.924,0.22430000,0.01358540
434,0.943,0.24960000,0.01571820
436,0.962,0.27550000,0.01801092
438,0.981,0.30170000,0.02045796
440,1,0.32810000,0.02300455
442,0.983,0.35430000,0.02561530
444,0.966,0.38030000,0.02835685
446,0.95,0.40600000,0.03131702
448,0.933,0.43100000,0.03452794
450,0.916,0.45500000,0.03800751
452,0.893,0.47900000,0.04177625
454,0.87,0.50200000,0.04585173
456,0.848,0.52400000,0.05025361
458,0.825,0.54600000,0.05499142
460,0.802,0.56700000,0.06001186
462,0.78,0.58800000,0.06529042
464,0.758,0.61000000,0.07092510
466,0.737,0.63100000,0.07703122
468,0.715,0.65300000,0.08368333
470,0.693,0.67600000,0.09099798
472,0.648,0.69900000,0.09906541
474,0.604,0.72200000,0.10790592
476,0.559,0.74500000,0.11755522
478,0.515,0.76900000,0.12801809
480,0.47,0.79300000,0.13904747
482,0.432,0.81700000,0.15049903
484,0.393,0.84000000,0.16274985
486,0.354,0.86200000,0.17627792
488,0.316,0.88400000,0.19131129
490,0.277,0.90400000,0.20806110
492,0.255,0.92300000,0.22677930
494,0.232,0.94100000,0.24753010
496,0.21,0.95700000,0.27023829
498,0.187,0.97000000,0.29510880
500,0.165,0.98200000,0.32306382
502,0.151,0.99000000,0.35475588
504,0.137,0.99700000,0.38936442
506,0.123,1.00000000,0.42571400
508,0.109,1.00000000,0.46348596
510,0.0956,0.99700000,0.50309939
512,0.0859,0.99000000,0.54461959
514,0.0763,0.98100000,0.58708128
516,0.0667,0.96800000,0.62947895
518,0.057,0.95300000,0.67100776
520,0.0474,0.93500000,0.71014029
522,0.043,0.91500000,0.74561090
524,0.0387,0.89200000,0.77799049
526,0.0343,0.86700000,0.80827007
528,0.03,0.84000000,0.83647205
530,0.0256,0.81100000,0.86217032
532,0.023,0.78100000,0.88513726
534,0.0204,0.74900000,0.90562211
536,0.0177,0.71700000,0.92391732
538,0.0151,0.68300000,0.94010832
540,0.0124,0.65000000,0.95418850
542,0.011,0.61600000,0.96619827
544,0.00963,0.58100000,0.97621535
546,0.00824,0.54800000,0.98428685
548,0.00684,0.51400000,0.99050848
550,0.00544,0.48100000,0.99514669
552,0.00482,0.44800000,0.99829551
554,0.0042,0.41700000,0.99994574
556,0.00357,0.38640000,1.00005426
558,0.00295,0.35690000,0.99852276
560,0.00233,0.32880000,0.99519660
562,0.00218,0.30180000,0.98993816
564,0.00202,0.27620000,0.98291828
566,0.00186,0.25190000,0.97427617
568,0.00171,0.22910000,0.96404725
570,0.00155,0.20760000,0.95218811
572,0.0014,0.18760000,0.93868464
574,0.00124,0.16900000,0.92364007
576,0.00109,0.15170000,0.90718562
578,0.000932,0.13580000,0.88938050
580,0.000777,0.12120000,0.87017190
582,0.000777,0.10780000,0.84955983
584,0.000777,0.09560000,0.82774482
586,0.000777,0.08450000,0.80495372
588,0.000777,0.07450000,0.78134636
590,0.000777,0.06550000,0.75714958
592,0.000777,0.05740000,0.73256712
594,0.000777,0.05020000,0.70763629
596,0.000777,0.04380000,0.68235400
598,0.000777,0.03816000,0.65680415
600,0.000777,0.03315000,0.63112468
602,0.000622,0.02874000,0.60543400
604,0.000466,0.02487000,0.57975243
606,0.000311,0.02147000,0.55407056
608,0.000155,0.01851000,0.52845720
610,0,0.01593000,0.50309939
612,0,0.01369000,0.47812485
614,0,0.01175000,0.45349279
616,0,0.01007000,0.42916478
618,0,0.00862000,0.40511203
620,0,0.00737000,0.38107528
622,0,0.00630000,0.35689771
624,0,0.00538000,0.33288336
626,0,0.00459000,0.30939922
628,0,0.00391300,0.28665023
630,0,0.00333500,0.26505236
632,0,0.00284200,0.24493799
634,0,0.00242100,0.22609747
636,0,0.00206200,0.20820273
638,0,0.00175700,0.19119297
640,0,0.00149700,0.17503458
642,0,0.00127600,0.15967794
644,0,0.00108800,0.14515458
646,0,0.00092800,0.13152628
648,0,0.00079200,0.11880267
650,0,0.00067700,0.10702114
652,0,0.00057900,0.09620765
654,0,0.00049600,0.08628190
656,0,0.00042500,0.07713588
658,0,0.00036450,0.06872366
660,0,0.00031290,0.06101205
662,0,0.00026890,0.05396570
664,0,0.00023130,0.04755905
666,0,0.00019910,0.04176697
668,0,0.00017160,0.03657107
670,0,0.00014800,0.03200632
672,0,0.00012770,0.02808219
674,0,0.00011040,0.02471293
676,0,0.00009540,0.02180508
678,0,0.00008260,0.01928489
680,0,0.00007150,0.01700336
682,0,0.00006200,0.01484011
684,0,0.00005380,0.01283732
686,0,0.00004670,0.01107050
688,0,0.00004060,0.00953520
690,0,0.00003533,0.00821162
692,0,0.00003075,0.00708682
694,0,0.00002679,0.00613970
696,0,0.00002336,0.00534412
698,0,0.00002038,0.00467733
700,0,0.00001780,0.00410281
702,0,0.00001556,0.00358981
704,0,0.00001360,0.00313471
706,0,0.00001191,0.00273868
708,0,0.00001043,0.00239372
710,0,0.00000914,0.00209141
712,0,0.00000802,0.00182494
714,0,0.00000704,0.00159050
