serial,lux,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,gain
205831BA4656,0.56976434650861,163286.2078189768,55044.9684445587,52004.698039749324,62355.63583131379,48384.05299648088,51598.67167107952,42914.22485244582,43886.832393667224,92699.45077415416,43509.33074092914,103244.06387913467,51729.13740590713,105222.91434142286,157580.12072131905,3.8
205833A3464B,0.594230466383471,157265.32994954547,48724.71839618474,41322.38667769948,49425.58284059165,39985.784730252344,41375.507938894065,40097.151180628265,40073.5176636609,91996.67167907547,39334.60367918269,112452.31822511167,51192.15674079396,109325.94622140286,159824.14142779357,3.8
205D337A464B,0.633889534214023,173160.4475248441,56110.59199922634,50516.04515468572,59186.86228147495,45664.98106642757,48060.524613930604,44029.81812988914,44613.53480783334,91977.41745729245,44173.491864388874,114591.6096388234,58709.88605237905,106546.47301238413,159824.14142779357,3.8
205E33A3464B,0.620338122237978,159432.84598254063,49771.969130944344,43269.08660432115,54561.18135239969,42598.793570835405,42973.91790353536,43275.388143704426,44598.55125290211,94846.29650295641,47507.85179032929,103988.16524042583,53698.06651132228,108002.38755044159,158577.4632575303,3.8
206033A3464B,0.629864677777915,150281.1116210052,53979.34488989092,47816.839374075884,57802.800271200336,43736.561257879075,46353.888974600035,51293.21320964676,52285.1149326397,100006.42794079479,52143.42534590482,107243.60869607417,60947.30549035079,113296.62223428671,166556.20354721713,3.8
2067337F464B,0.695272652788651,129328.45663538424,50653.86448653145,45052.19830181486,56163.77946955956,43601.571871280736,45446.45831759004,50996.256725722895,51063.95520574186,94490.09339997127,52943.12955578494,98639.93670614634,61394.78937794519,106811.18474657634,159325.47015968795,3.8
206831924656,0.612419994851225,167139.56965541278,57856.00989049238,52282.79802926669,65342.295958748255,47651.2534692324,52431.17686099684,43885.3528133857,44411.25681626142,97070.15911889046,45800.00890143301,103104.54487389268,52803.098736133616,109723.01382269124,161569.49086616246,3.8
206933A7464B,0.587763605667112,143537.7284072422,53299.55055329265,46982.539405523785,56691.90839453266,44613.99227076861,47585.996655677714,56598.30066569064,57304.60583461248,95048.46583167765,57239.84539530975,106034.44398397615,71955.40912517191,106149.40541109577,165808.19664505948,3.8
206B33A7464B,0.251002998879615,128124.28106149804,43745.68420109955,39997.32202176373,45929.005130424535,36504.9869758223,38919.61762863775,42657.3976231063,43294.98197388239,101334.96924382035,43631.319518707496,125613.61105294726,52534.608403577025,117664.36584845904,172540.25876448306,3.8
206C33A3464B,0.605490510661949,163527.04293375404,53134.195174120025,47276.99821795389,56163.77946955956,45009.3183315211,46253.988351809945,40329.90085721711,40170.91077071417,95664.60092873294,39971.656185358384,108545.78607833361,52892.59551365252,106546.47301238413,167304.21044937478,3.8
207631924656,0.562222609192761,155097.81391655013,53758.87105099418,50025.280467302066,61572.54811497437,46330.285900376744,50274.98841911081,48323.64837040878,49857.77903377527,92622.43388702221,49039.488666879115,98965.4810517112,59873.3441601243,103237.57633498087,160322.8126958992,3.8
207633A3464B,0.587537046635669,169066.25057363085,50837.592685612115,44626.86890608239,55362.48041097955,43215.88790957095,44847.0545808495,51132.6961913095,51213.79075505438,93893.21252469886,52631.38045701811,99802.59508316364,62916.234595765935,103105.22046788484,160322.8126958992,3.8
2077337A464B,0.619641005132872,126197.60014327997,42606.569366799624,44414.20420821621,43142.66976763503,42058.83602444188,40126.75015401802,44655.83450140426,45767.268537540534,97416.73511098415,45610.24858044454,105197.32995252371,53698.06651132228,112105.4194304216,160322.8126958992,3.8
207733A7464B,0.597895728324872,130773.46732404765,53097.449534303945,48782.00992593024,57292.8826884677,44488.644983212966,48110.47492532572,40442.26277005318,39646.48634811997,94018.3649662883,41381.304284129845,103337.07654929611,50834.16963071846,108796.52275301833,156333.44255105578,3.8
208233A3464B,0.600134252387016,135349.33450481555,47071.16460445902,42761.963094024744,49953.711765564745,38867.30124129421,41758.46032625605,49680.01717535809,50726.82521978836,100641.8172596331,51248.84097553069,114684.62230898484,60410.324825237614,115679.02784201705,165808.19664505948,3.8
208833A3464B,0.632615688438474,170752.09637707155,49239.15735361052,41747.716073431955,51647.36659392702,41142.83661538141,39552.32157297489,49784.35323727717,50801.74299444469,101354.22346560337,51913.002098990284,110313.02681139979,60857.80871283187,116340.80717749777,168550.88861963962,3.8
208E33A3464B,0.632593254059716,150521.94673578246,51848.09778055565,46998.89822843653,56072.722758357304,43707.634960750845,45821.08565305284,50586.93832896309,52127.787605861486,95192.87249504996,52346.739975535325,109708.44445535076,61752.776488020674,109458.30208849903,161818.82650021606,3.8
209033A3464B,0.668905410630561,150762.7818505597,51756.23368101531,45870.13944745422,56072.722758357304,44411.50819087095,46720.19125816365,49976.973659281815,50329.7610141099,99862.02127742246,51086.18927182627,121381.53456060436,59157.369939973454,114884.89263944031,168301.55298558605,3.8
209233A3464B,0.630578711290702,140166.03680036048,55467.543302444145,50516.04515468572,59587.51181076487,46214.5807118638,49334.257554504205,46525.85776503245,47183.2144785449,98880.0559664906,48958.16281502682,103848.6462351837,56293.473059369506,110649.50489236414,165309.52537695385,3.8
209433A3464B,0.661792584803751,173642.11775439855,57010.860174721485,49698.10400904637,63193.3575743747,48654.03176967758,49925.33623934556,48355.75177407629,50202.40079719416,96742.83734857978,52428.0658273876,105243.83628760443,61931.77004305836,112502.48703170997,158577.4632575303,3.8
205431BA4656,0.598509168,160877.8566729811,53940.499505502885,48886.70639324251,58334.5714580549,45507.126134074475,48363.31864228813,46757.23157422802,47455.91518507043,96186.94046100912,48180.92003218399,109430.73519091553,57201.226090122356,110570.09137495961,163115.37178272332,3.8
