serial,lux,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm
205631BA4656,0.609500746488561,29946.756308202286,11502.352729478687,12843.647171213257,11254.174039878286,9233.804687378,9758.639806506113,8549.175126731343,8606.519090372429,16990.05250791603,8926.324542560058,21766.199964989115,11910.096936077085,22264.785954895917,27451.54168175443
205831BA4656,0.56976434650861,92711.8756938862,40352.5161329252,48205.377045203,42252.5130619991,34070.0234715168,36131.4513265979,29023.7710492905,29109.1159534652,59947.6788562563,29268.1325654931,73324.6796999633,38892.8589212009,79020.1108667065,100285.400825831
205831BB4656,0.558541115555419,97224.4006170399,41524.3014812444,48023.4127405341,39463.6497582574,32311.5268435529,35542.6683992042,35613.420956498,35961.5350213772,59132.1065299328,36352.6618500378,80987.439019959493,48784.2953596378,84685.7037213005,105045.783776424
205833A3464B,0.594230466383471,89293.2962066485,35719.2499280766,38303.4861328036,33491.039851129,28156.3147342328,28972.7836549196,27118.5263067618,26579.832918246,59493.1996209768,26459.8506869349,79864.4484299601,38489.1268216729,82101.3982086787,101713.515711009
205A31BA4656,0.555567291639403,97634.6301555085,45403.3150480944,52921.2852745386,46929.4121421679,36772.2692550289,40765.9308045981,29718.561154828,29819.7003818273,67082.3802758502,30243.7369843429,89508.9558499553,39902.189170021,90351.2965758946,112979.755360747
205A31BB4656,0.522170597378074,97634.6301555085,41470.426292816,48114.3948928685,40919.7819256978,33133.0638782387,35851.6336977375,27987.0139386837,27742.6074373841,61933.6908569984,29286.3681621072,78840.5452449606,37547.0852561075,79815.2817936671,102348.233437755
205D337A464B,0.633889534214023,98318.346052956,41133.706365138,46825.4810681305,40105.3351201803,32155.3669113399,33653.8994043965,29778.2696795226,29591.120775501,59480.7481350787,29714.9046825365,81383.7886399593,44141.3762150654,80014.0745254072,101713.515711009
205E31BA4656,0.564028032941108,85874.7167194108,39140.3243932846,46643.5167634616,41104.8834724063,31394.9359370852,34988.862675418,30293.9342109763,30152.6315475634,60097.0966870331,30189.0301945009,78279.0499499609,40373.2099528037,81902.6054769386,98381.2476455939
205E31BB4656,0.57337507317382,94626.2802067393,41739.8022349583,48114.3948928685,43720.9853325534,33119.4847536984,35997.3720461023,31960.3448547264,32433.4584889497,64816.2098424015,33307.3172154973,76990.9136849615,42391.8704504439,85679.6673800013,112662.396497374
205E33A3464B,0.620338122237978,90523.984822054,36486.9713631823,40107.9654874369,36970.9489292493,29996.2861094382,30092.0541703611,29268.0331957685,29581.1825317477,61336.0195338911,31957.8830660603,73853.1458599631,40373.2099528037,81107.434549978,100920.118552577
206031BB4656,0.587483800228634,100779.723283767,45039.6575262022,51829.4994465252,45633.7013152082,34728.6110117195,38638.1509184722,35662.2733857936,35573.9435149978,62462.8790076664,36544.1356144849,79963.53583496,48447.8519433645,85580.2710141312,106315.219229916
206033A3464B,0.629864677777915,85327.7440014528,39571.3259007123,44323.4718789331,39167.4872835237,30797.4544573137,32458.8449478053,34690.652847581,34679.5015771993,64673.0177545737,35076.1700870567,76165.1853099619,45823.5932964322,85083.2891847808,105997.860366543
206231BB4656,0.550872706567768,100779.723283767,39786.8266544262,46992.2816807436,39833.8528516744,33465.7524294751,35548.4979331387,27840.4566507969,27355.0159310047,58011.4727991065,28593.4154907746,74315.5537499628,37681.6626226168,81505.0200134583,100602.759689204
206431BA4656,0.574660881266228,101873.668719683,39921.5146254974,45809.5137003958,39858.5330579022,33581.1749880673,35012.1808111563,28936.9222860983,29367.5102910514,63932.1543436386,29368.4283468702,77023.9428199615,38960.1476044556,82697.7764038991,103776.348322933
2067337F464B,0.695272652788651,73431.0873858656,37133.473624324,41760.8079215127,38056.8780032726,30702.4005855319,31823.4257489348,34489.815082699,33869.534711304,61105.6670447768,35614.1201871702,70054.795334965,46160.0367127056,80212.8672571473,101396.156847636
206831924656,0.612419994851225,94899.7665657183,42413.2420903142,48463.1598101506,44276.289972679,33554.0167389868,36714.404720057,29680.5648209314,29456.9544848313,62774.1661551181,30809.0404793774,73225.5922949634,39700.323120257,82399.5873062889,102824.271732814
206933A7464B,0.587763605667112,81498.9349757466,39072.980407749,43550.1235840903,38414.7409935757,31415.3046238956,33321.6159701248,38278.5923769584,38008.8132345604,61466.7601358208,38504.4622504915,75306.4277999623,54100.101336757,79715.885427797,105521.822071484
206B33A7464B,0.251002998879615,72747.3714884181,32069.2059120477,37075.2270762885,31121.7400532599,25705.2827547155,27253.0711442151,28850.0735229061,28716.5553252092,65532.1702815405,29350.1927502562,89211.6936349554,39498.457070493,88363.3692584932,109806.166727018
206C33A3464B,0.605490510661949,92848.6188733757,38951.7612337849,43823.0700410936,38056.8780032726,31693.676676971,32388.8905405902,27275.9396900476,26644.4315026426,61865.207684559,26888.3872073643,77090.0010899615,39767.6118035117,80014.0745254072,106473.898661602
206E31BA4656,0.577261899778682,85874.7167194108,36284.9394065756,41199.7513154503,36316.9234642125,29269.8029465342,30809.0868443159,30994.1523642133,30813.524757159,61902.5621422532,32158.4746288144,71144.7567899644,41247.9628351145,83294.1545991195,101713.515711009
207231BA4656,0.591356247886968,97634.6301555085,41214.5191477807,46977.1179886879,41944.0104841516,33635.4914862284,35443.5663223161,34126.1358868317,33939.1024175772,63863.6711711992,34428.8064072592,83728.8572249581,45890.8819796869,84288.1182578203,104728.424913052
207431BA4656,0.587110028173204,110078.259489054,42951.9939745989,49873.3831713345,41981.0307934933,35020.5621893351,37209.9151044973,32915.6812498405,32681.9145827826,61653.5324242919,34018.5054834439,77585.4381149612,43266.6233327547,84586.3073554305,102348.233437755
207631924656,0.562222609192761,88062.6075912429,39409.700335426904,46370.5703064582,41721.8886281014,32623.8467079789,35204.5554309978,32682.2751987615,33069.506089162,59897.872912664,32988.1942747521,70285.9992799649,45016.1290973761,77529.1653786554,102030.874574382
207633A3464B,0.587537046635669,95993.7120016344,37268.1615953952,41366.5519280634,37513.9134662609,30430.8180947266,31403.6993056442,34582.0918935907,33968.9171488371,60719.6709819366,35404.410826109,70880.5237099646,47303.944328035,77429.7690127854,102030.874574382
2077337A464B,0.619641005132872,71653.426052502,31234.1404914064,41169.4239313388,29233.7042768329,29616.0706223109,28098.3535647309,30201.6574000846,30356.3655445064,62998.2929012834,30681.3913030793,74711.9033699626,40373.2099528037,84188.7218919502,102030.874574382
207733A7464B,0.597895728324872,74251.5464628026,38924.8236395707,45218.1297102218,38821.9643963345,31327.0403143839,33688.8766080041,27351.9323578408,26296.5929712765,60800.6056402741,27836.638231293,73390.7379699633,38219.9720886542,81703.8127451984,99492.003667399
207831BA4656,0.586761348789168,108027.111796711,45241.689482809,51965.9726750269,44658.83316921,36514.2658887639,39203.6157101276,36416.7720160258,34833.5443553757,62469.1047506154,37145.9103027474,82440.7209599588,49120.7387759112,83492.9473308597,101713.515711009
207C31BA4656,0.637319859474462,27622.122256880542,11488.883932371542,13328.885316996972,11451.615689700715,9376.385495050743,10172.536715862114,9097.407944382057,9103.431278038257,17569.04660217626,9181.622895156257,23814.006334988084,12246.540352350456,23258.74961359663,29673.05372536457
208233A3464B,0.600134252387016,76849.6668731033,34507.058188436,39637.8910337089,33848.9028414321,27368.7255108976,29240.9422159108,33599.6152599791,33645.9242268543,65083.91678921,34474.3953987943,81449.8469099593,45419.8611969042,86872.4237704421,105521.822071484
208431924656,0.583592945907658,97497.8869760189,43490.7458588836,48387.3413498719,43103.9801768584,34212.6042791895,36755.2114575992,28654.6638057237,28726.4935689625,66584.3208399274,29724.0224808435,94628.4717749527,37816.2399891261,89854.3147465442,116788.061721221
208731924656,0.541977374697303,92301.6461554176,40056.2025965686,46476.7161508484,39525.3502738269,32107.8399754489,34440.8864855664,29550.2916761431,29645.7811161443,55116.5023278053,31191.9880082717,69394.2126349653,39834.9004867663,75740.0307929941,91716.7115147634
208833A3464B,0.632615688438474,96950.9142580609,36096.3762470759,38697.7421262529,34996.532431025,28971.0622066485,27696.115723244,33670.1798800727,33695.6154456209,65544.6217674386,34921.1675158376,78345.1082199608,45756.3046131775,87369.4055997925,107267.295820035
208E33A3464B,0.632593254059716,85464.4871809423,38008.945436286704,43565.287276146,37995.1774877031,30777.0857705033,32085.7547759914,34212.9846500239,34575.1500177895,61560.1462800563,35212.9370616618,77915.729464961,46429.1914457243,82200.7945745488,102982.951164501
209033A3464B,0.668905410630561,85601.2303604318,37941.6014507511,42518.9925242998,37995.1774877031,31272.7238162228,32715.3444409273,33800.453024861,33382.5607673914,64579.6316103382,34364.9818191102,86206.0423499569,44477.8196313388,86276.0455752217,107108.616388348
