wl,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm
380,0.0054883,4.7271e-9,4.3536e-17,1.5152e-29,7.1438e-43,3.4395999999999995e-54,6.5124e-76,1.7786e-100,2.1687e-139,0,0,0,0,0
381,0.006664595386490086,1.0109496422433096e-8,2.0663809995288633e-16,2.8613333341435284e-28,4.5838860522944344e-41,3.5618287488444e-52,3.5264371058611436e-73,4.728657324126878e-97,7.582626922450227e-135,1.0880411983308442e-163,6.184801809834216e-204,1.769400021601617e-263,9.002000267269143e-272,0
382,0.00987793415947026,2.587160526729929e-8,6.923008598586591e-16,1.0977819202430584e-27,1.81151246368833e-40,1.41412784065332e-51,1.408566602158343e-72,1.8909143628380635e-96,3.032983835255068e-134,4.3521635949925324e-163,2.473920542950265e-203,7.07760006480485e-263,3.600800080180743e-271,0
383,0.014654995239205389,5.1435805900948936e-8,1.4950589697879886e-15,2.4481546403645872e-27,4.065599539532494e-40,3.1768472089799806e-51,3.1683381344375147e-72,4.2543012710570934e-96,6.8241823069426e-134,9.792365392488798e-163,5.566320814425398e-203,1.5924600097207278e-262,8.101800120271114e-271,0
384,0.020522457545960347,8.622447768973242e-8,2.6094471198115454e-15,4.3353083736574095e-27,7.219733996917771e-40,5.643913691537761e-51,5.631876527144457e-72,7.56300397685075e-96,1.2131855298220086e-133,1.7408644793323372e-162,9.895680723933689e-203,2.831040008640647e-262,1.4403200106907658e-270,0
385,0.027007,1.2966e-7,4.03e-15,6.7573e-27,1.1273e-39,8.8149e-51,8.7991e-72,1.1817e-95,1.8955999999999998e-133,2.7200999999999997e-162,1.5462e-202,4.4235e-262,2.2505e-270,0
386,0.03550956451710383,2.691555467132934e-7,1.6377189513303066e-14,9.861662542297343e-26,5.468267040847541e-38,7.092067014848298e-49,3.646355915257617e-69,2.3867765147270904e-92,4.9122468731138983e-129,1.5806753702226e-157,3.3817000895653195e-197,2.318920575917148e-255,4.851202923216563e-264,4.206526730672056e-306
387,0.04744828294998715,5.898325513081283e-7,5.019179236955584e-14,3.6867046882952793e-25,2.1442401604574835e-37,2.8031703439041225e-48,1.4551814735269446e-68,9.542591679958662e-92,1.9648262928386246e-128,6.322597564156788e-157,1.3526741304457317e-196,9.275680613029446e-255,1.9404803098389705e-263,1.6623580192016168e-305
388,0.06237561912431855,1.0876757825463166e-6,1.0534880046915709e-13,8.166989195245958e-25,4.8031494647878365e-37,6.290456595580999e-48,3.2724915237652467e-68,2.1468591267826688e-91,4.4208231371101644e-128,1.422579295337967e-156,3.043513865936665e-196,2.087028053912317e-254,4.3660802712154555e-263,3.694737028802425e-305
389,0.07984403686576663,1.75867000918967e-6,1.8172320571250554e-13,1.442482066813109e-24,8.52319071274546e-37,1.1170816224838584e-47,5.816539710002366e-68,3.816473935046314e-91,7.859214584654468e-128,2.529026070846837e-156,5.4106891706984e-196,3.71027203396346e-254,7.761920170064627e-263,6.487410692268822e-305
390,0.099406,2.5988e-6,2.7919e-13,2.2458e-24,1.3304e-36,1.7444e-47,9.0873e-68,5.9631e-91,1.228e-127,3.9515999999999995e-156,8.4542e-196,5.7973e-254,1.2128e-262,1.001e-304
391,0.12365805862861473,4.806987353867006e-6,9.391371052266206e-13,2.5168569101291536e-23,4.870268856635756e-35,1.0889706692841997e-45,2.881250307808697e-65,9.148953500411287e-88,2.3586399288319177e-123,1.742771384024272e-151,1.4208509843904625e-190,2.2630007547781884e-247,2.0178415753248777e-256,2.5540960990434194e-304
392,0.15458126735882555,9.533698706623712e-6,2.6973381323482214e-12,9.210426087678933e-23,1.8972872105841753e-34,4.289282832527535e-45,1.1490291902228731e-64,3.6573033620639017e-87,9.434090330709504e-123,6.970934571783074e-151,5.683371648589095e-190,9.05200080341497e-247,8.071361669718658e-256,6.421517801930662e-304
393,0.190804846774729,1.6702236382446915e-5,5.54524660685651e-12,2.029799881016413e-22,4.243655692672987e-34,9.617887261128771e-45,2.5835943262744415e-64,8.22780222306611e-87,2.1226469888171136e-122,1.568452787392974e-150,1.2787570202272496e-189,2.0367000706554653e-246,1.816056146157e-255,1.2578691455296194e-303
394,0.23095801746042163,2.6235902705513413e-5,9.474316054243198e-12,3.577228635509955e-22,7.5257030498411985e-34,1.7074290726486673e-44,4.591793556884007e-64,1.4626373810045545e-86,3.7735774483755185e-122,2.78835500851176e-150,2.2733446400917265e-189,3.620800044511155e-246,3.2285440916467566e-255,2.1001043405774485e-303
395,0.27367,3.8058e-5,1.4476e-11,5.5626e-22,1.1743e-33,2.6658e-44,7.1736e-64,2.2852999999999997e-86,5.8962e-122,4.356799999999999e-150,3.5521e-189,5.657499999999999e-246,5.044599999999999e-255,3.1664e-303
396,0.3221758583645379,6.388010535854152e-5,4.108621271628035e-11,4.8295251894482376e-21,3.253374084362763e-32,1.2928915629700384e-42,1.740763019725206e-61,2.6638114525555408e-83,8.393567893346744e-118,1.458176652762886e-145,4.5876461520354246e-184,1.6444807365776258e-239,6.47840655248719e-249,6.866628356977153e-303
397,0.37854142070014957,1.1476269980971785e-4,1.0955622730471416e-10,1.719651320289606e-20,1.2564987709256794e-31,5.0697957315884464e-42,6.935652593869194e-61,1.064651546797257e-82,3.357201783902497e-117,5.83254016697262e-145,1.8350448943195608e-183,6.577920784042883e-239,2.59136069450697e-248,1.5800700947134183e-302
398,0.4396420538534923,1.8965244158162343e-4,2.1945053553500781e-10,3.763924262161978e-20,2.8048486291969443e-31,1.1356617318721832e-41,1.5591630098150578e-60,2.3950327877111823e-82,7.55359196860298e-117,1.312313278200091e-144,4.128844286673807e-183,1.4800320689519323e-238,5.8305606079248605e-248,3.0251219358802633e-302
399,0.5023531246712234,2.8749598890235266e-4,3.703336291768677e-10,6.613973202689566e-20,4.9700085249788065e-31,2.0152603137236811e-41,2.7708483308287974e-60,4.2575179210834045e-82,1.342852536633564e-116,2.3329953169219463e-144,7.3401626894920344e-183,2.6311680434380502e-238,1.0365440381192497e-247,5.050078518031405e-302
400,0.56355,4.0724e-4,5.6177e-10,1.0268e-19,7.7516e-31,3.1456999999999995e-41,4.3285999999999997e-60,6.6521e-82,2.0981999999999997e-116,3.6452999999999997e-144,1.1468999999999998e-182,4.111199999999999e-238,1.6195999999999997e-247,7.683199999999998e-302
401,0.6273359764592696,6.294796517119645e-4,1.3722029870790345e-9,6.982587480400791e-19,1.6315159684530864e-29,1.1873975187126032e-39,8.041854126194134e-58,5.891049338090496e-79,2.213753258382314e-112,9.259274007838695e-140,1.1382149014903424e-177,8.898405352570066e-232,1.6055221037304478e-241,5.7204009902709905e-295
