wl,A,E,D65
380,9.7951,1,49.9755
381,10.0096,1,50.4428
382,10.2273,1,50.91
383,10.4481,1,51.3773
384,10.6722,1,51.8446
385,10.8996,1,52.3118
386,11.1302,1,52.7791
387,11.364,1,53.2464
388,11.6012,1,53.7137
389,11.8416,1,54.1809
390,12.0853,1,54.6482
391,12.3324,1,57.4589
392,12.5828,1,60.2695
393,12.8366,1,63.0802
394,13.0938,1,65.8909
395,13.3543,1,68.7015
396,13.6182,1,71.5122
397,13.8855,1,74.3229
398,14.1563,1,77.1336
399,14.4304,1,79.9442
400,14.708,1,82.7549
401,14.9891,1,83.628
402,15.2736,1,84.5011
403,15.5616,1,85.3742
404,15.853,1,86.2473
405,16.148,1,87.1204
406,16.4464,1,87.9936
407,16.7484,1,88.8667
408,17.0538,1,89.7398
409,17.3628,1,90.6129
410,17.6753,1,91.486
411,17.9913,1,91.6806
412,18.3108,1,91.8752
413,18.6339,1,92.0697
414,18.9605,1,92.2643
415,19.2907,1,92.4589
416,19.6244,1,92.6535
417,19.9617,1,92.8481
418,20.3026,1,93.0426
419,20.647,1,93.2372
420,20.995,1,93.4318
421,21.3465,1,92.7568
422,21.7016,1,92.0819
423,22.0603,1,91.4069
424,22.4225,1,90.732
425,22.7883,1,90.057
426,23.1577,1,89.3821
427,23.5307,1,88.7071
428,23.9072,1,88.0322
429,24.2873,1,87.3572
430,24.6709,1,86.6823
431,25.0581,1,88.5006
432,25.4489,1,90.3188
433,25.8432,1,92.1371
434,26.2411,1,93.9554
435,26.6425,1,95.7736
436,27.0475,1,97.5919
437,27.456,1,99.4102
438,27.8681,1,101.228
439,28.2836,1,103.047
440,28.7027,1,104.865
441,29.1253,1,106.079
442,29.5515,1,107.294
443,29.9811,1,108.508
444,30.4142,1,109.722
445,30.8508,1,110.936
446,31.2909,1,112.151
447,31.7345,1,113.365
448,32.1815,1,114.579
449,32.632,1,115.794
450,33.0859,1,117.008
451,33.5432,1,117.088
452,34.004,1,117.169
453,34.4682,1,117.249
454,34.9358,1,117.33
455,35.4068,1,117.41
456,35.8811,1,117.49
457,36.3588,1,117.571
458,36.8399,1,117.651
459,37.3243,1,117.732
460,37.8121,1,117.812
461,38.3031,1,117.517
462,38.7975,1,117.222
463,39.2951,1,116.927
464,39.796,1,116.632
465,40.3002,1,116.336
466,40.8076,1,116.041
467,41.3182,1,115.746
468,41.832,1,115.451
469,42.3491,1,115.156
470,42.8693,1,114.861
471,43.3926,1,114.967
472,43.9192,1,115.073
473,44.4488,1,115.18
474,44.9816,1,115.286
475,45.5174,1,115.392
476,46.0563,1,115.498
477,46.5983,1,115.604
478,47.1433,1,115.711
479,47.6913,1,115.817
480,48.2423,1,115.923
481,48.7963,1,115.212
482,49.3533,1,114.501
483,49.9132,1,113.789
484,50.476,1,113.078
485,51.0418,1,112.367
486,51.6104,1,111.656
487,52.1818,1,110.945
488,52.7561,1,110.233
489,53.3332,1,109.522
490,53.9132,1,108.811
