SERIAL,207631924656
DATE,13/05/2022
TIME,10:15:00

unix,lux,ch0,ch1,uv,410nm,435nm,460nm,485nm,510nm,535nm,560nm,585nm,610nm,645nm,680nm,705nm,730nm,760nm,810nm,860nm,900nm,940nm
1648215861,3079.1298828125,31340.0,8155.0,0.0,1103,1811,1769,2137,1521,1923,1784,1756,2542,929,1569,799,1426,1156,725,655,179,175
1648215891,3825.950927734375,39100.0,10233.0,0.0,1898,3096,4154,3982,3975,3797,3147,3160,4942,2343,3832,1570,2477,2020,1774,1298,448,341
1648215922,2887.309814453125,30778.0,8529.0,1.0,850,1851,2505,2870,2733,2440,2017,1926,3193,1427,2086,1172,1451,1114,1080,745,312,236
1648215952,3145.27734375,33825.0,9481.0,1.0,896,1976,2695,3043,2917,2626,2273,2188,3727,1637,2473,1326,1706,1314,1275,883,355,268
1648215982,711.746337890625,7222.0,1871.0,0.0,332,654,845,890,818,709,628,574,988,399,646,314,459,360,328,226,82,61
1648216012,715.0462036132812,7256.0,1880.0,0.0,332,655,847,892,821,710,629,575,992,400,649,315,461,361,330,226,83,61
1648216042,719.8924560546875,7304.0,1892.0,0.0,334,658,853,897,826,714,633,579,1000,404,654,317,465,363,331,229,84,62
1648216072,715.0758666992188,7253.0,1878.0,0.0,331,653,846,892,821,710,630,576,993,401,650,315,461,361,329,226,83,62
1648216102,715.558349609375,7267.0,1885.0,0.0,331,654,846,894,822,713,631,578,997,402,652,317,463,363,331,227,84,62
1648216132,716.3661499023438,7275.0,1887.0,0.0,332,656,850,898,826,715,634,580,1002,404,655,318,465,363,332,229,84,62
1648216162,720.000732421875,7311.0,1896.0,0.0,335,661,855,905,832,721,639,585,1010,407,661,321,469,367,335,230,84,63
1648216192,725.98974609375,7369.0,1910.0,0.0,337,665,861,909,836,725,642,588,1016,409,664,322,471,368,337,231,85,63
1648216222,729.5464477539062,7422.0,1930.0,0.0,338,667,864,913,840,728,645,590,1020,411,669,325,475,372,339,233,85,63
1648216252,734.6583251953125,7470.0,1941.0,0.0,340,673,870,921,846,734,649,595,1028,414,673,327,480,374,341,235,86,64
1648216282,738.904052734375,7516.0,1954.0,0.0,342,676,876,925,852,738,653,598,1034,416,678,328,482,377,344,237,86,64
1648216312,741.0906372070312,7537.0,1959.0,0.0,343,679,879,929,855,741,655,600,1039,418,681,330,484,378,345,237,87,65
